35710241	2021-06-21T00:43:55.000Z	1406774848228147207	 don’t forget the many failed attempts to offer a better in flight experience for slightly higher cost. The median consumer’s preference for air travel is as cheap as possible.	{'place_id': '01a9a39529b27f36'}
158931956	2021-06-21T00:22:20.000Z	1406769416944209928	 Outside, mostly. But though the restrictions are lifted nearly every indoor space I regularly visit (stores, coffee shops) still require them. I believe big venues like MSG & Barclays are doing proof of vax and then no mask when inside.	{'place_id': '011add077f4d2da3'}
2847733426	2021-06-21T00:20:23.000Z	1406768926701326342	Thanks to my parents for this great card. After spending an awesome day with the family, we ended it off with a quick visit to the pool. Couldn’t ask for a better way to spend Father’s Day!  	{'coordinates': {'type': 'Point', 'coordinates': [-74.3478, 40.6502]}, 'place_id': '777dd5b3b30a625e'}
41628833	2021-06-21T00:20:07.000Z	1406768862201266184	 Of course…my kids are already planning our next visit    	{'place_id': '65e3a577f1940550'}
822544845881360384	2021-06-21T00:18:42.000Z	1406768503919685634	LMFAOOOO my sisters first visit to nyc. They rolled the windows down & mad the air stink 💀😭 	{'place_id': '27485069891a7938'}
147516034	2021-06-21T00:03:11.000Z	1406764598200619014	Manhattan you're gorgeous              @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
147516034	2021-06-21T00:02:26.000Z	1406764410262147074	0s passport from the Italian Kingdom Ellis Island            @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
349772882	2021-06-22T23:59:35.000Z	1407488470478622723	Repost from Visit to learn how to contribute to this independent film’s beautiful and important story.•0 seconds with  @ New York, New York 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
15705567	2021-06-22T23:50:56.000Z	1407486291839754240	Many years ago I inadvertently coined the term “hate-selling”, the passive aggressive tactics used by travel brands & it created a stir for a while. Non-refundable fares are abhorrent non-selling, and there needs to be a consumer movement to make them go.	{'place_id': '00c39537733fa112'}
14694855	2021-06-22T23:35:34.000Z	1407482426146885638	Finally have a legit reason to visit the Moynihall instead of just walking thru and staring at it, mouth a-gape under maskAnd I didn’t do it *just* so I could sit... 	{'place_id': '01a9a39529b27f36'}
