95225554	2021-08-27T16:25:30.000Z	1431291793677721612	 We are coming your way Sept. 0-0. It’s one of the big cities my 0-year-old was bragging about to her friend. “And we get to travel this season to cool places like Dallas, Austin, Tulsa and Oklahoma City,” I heard her tell her pal.	{'place_id': '1c69a67ad480e1b1'}
58878173	2021-08-27T15:18:07.000Z	1431274837050331137	United wanted volunteers for people to take a different flight and get a travel voucher. I sure will.	{'place_id': '1c69a67ad480e1b1'}
981954791113830400	2021-08-27T13:59:54.000Z	1431255154607656962	I just updated my tours on my  profile! Catch me in Nashville, Indianapolis, Chicago, Detroit, and Mississauga soon. To pre-book, visit 	{'place_id': '1c69a67ad480e1b1'}
981954791113830400	2021-08-27T13:59:37.000Z	1431255081920434182	I am available now in Houston, Texas, United States! To get in touch, visit me on  	{'place_id': '1c69a67ad480e1b1'}
728736319602491392	2021-08-27T12:21:53.000Z	1431230487264104453	No better day than GAMEDAY!!  is upon us! We got the Barbershop going mobile this week as we travel to Strake Jesuit tonight at 0pm. Somebody about to get right for the weekend…😈💈✂️	{'place_id': '1c69a67ad480e1b1'}
1169446685279424512	2021-08-27T11:43:29.000Z	1431220822035865602	So grateful to have the opportunity to fly to DC this morning to march for voting rights tomorrow. 🙏🏽 	{'place_id': '07d9dafb0d885000'}
1231801683291889664	2021-08-27T06:51:23.000Z	1431147312961753090	thinking I should travel and gtf outta Houston. I dnt know how I’m gone handle 0 days of rain. my nerves just all over the place	{'place_id': '1c69a67ad480e1b1'}
4119405132	2021-08-27T05:15:44.000Z	1431123241372954626	Today’s visit 😵‍💫 	{'place_id': '1c69a67ad480e1b1'}
4307223014	2021-08-27T04:37:32.000Z	1431113629752074241	 true 🥰 you need to come visit her before she grows up smh 😢	{'place_id': 'bcb210d6cf34438a'}
608723612	2021-08-27T03:24:50.000Z	1431095332683894791	     Yeah. My point exactly. I made calls, too. But right now I have a mom with LBD. And in case you haven't noticed there's been a pandemic So I didn't get to go visit them last year. You don't know what everyone else's life looks like. How about you stop telling people what to do?	{'place_id': '1c69a67ad480e1b1'}
