558914811	2021-12-16T16:51:14.000Z	1471523323398045702	Announcement: Hey Huskies if you are interested in participating in the AHMS Spelling Bee, please visit Dr. Brooks in Room 0 right away!      🔵⚪️      	{'place_id': '1c69a67ad480e1b1'}
26308583	2021-12-16T16:20:46.000Z	1471515654176100352	Yesterday we had a chance to drop off gifts for the students  and visit with many of its teachers, administrators, and staff. MacGregor Elementary School meant so much to my dad, Peter, and we continue on this tradition in his name! 	{'place_id': '1c69a67ad480e1b1'}
1929457470	2021-12-16T15:15:49.000Z	1471499311225573388	 Daughters travel team uses NB and she loves them. Nice uni	{'place_id': '1c69a67ad480e1b1'}
1162838377466494976	2021-12-16T14:01:07.000Z	1471480510580994055	Santa paid us a visit today. All he wants for Christmas is to P-Rex the field.  	{'place_id': '1c69a67ad480e1b1'}
3044989142	2021-12-16T13:59:28.000Z	1471480097358192650	Yet, neither Kentucky Senators joined the President and the Governor during their visit…. 	{'place_id': '1c69a67ad480e1b1'}
2731646744	2021-12-16T13:59:21.000Z	1471480068711251968	 had a visit from our friendly Elf today! Checking Santa’s list… have you been Naughty or Nice?    	{'place_id': '343ecdd7da8dfae0'}
1469750433728151553	2021-12-16T13:53:39.000Z	1471478633516703744	WALKING THE BRIDGE OVER THE RIVER KWAI0/ A few travel tips from my 0 & 0 trips to Thailand 🇹🇭 & Taiwan 🇹🇼                    	{'place_id': '1c69a67ad480e1b1'}
374134050	2021-12-16T13:01:41.000Z	1471465553219006469	First scrimmage of the year tonight as we travel to  to kick off our season! 	{'place_id': 'bc39561011b12bc6'}
1412886300122882050	2021-12-16T05:45:42.000Z	1471355837448957953	 yep! we alert our entires and exits. visit  or dm  for access 😉	{'place_id': 'bcb210d6cf34438a'}
1447631597793054723	2021-12-16T05:27:35.000Z	1471351277279920129	  taxing elon takes away from intermediate space travel. to get a whole new planet to live on is insane.but badsss. the opportunity of a new diverse natural pure life and everything the universe can add to it. is something I would never pass up.why would u?	{'place_id': '1c69a67ad480e1b1'}
558914811	2021-12-16T04:08:27.000Z	1471331363743752194	Announcement: Hamilton MS will be hosting Camp Spark from 0am to 0pm on Mon, Dec. 0th to Tues, Dec. 0st.  Please visit our campus website for more details!   ➡️➡️       	{'place_id': '1c69a67ad480e1b1'}
40010154	2021-12-16T03:00:07.000Z	1471314165230878726	 Yeah, that makes it harder to travel…	{'place_id': '1c69a67ad480e1b1'}
937717345698701313	2021-12-16T02:46:33.000Z	1471310750144770055	We invited second grade to travel the world and learn all about holiday traditions and customs from Israel, Germany, Mexico, Africa and Italy. ✈️🎅🏻🇮🇹🇮🇱🇩🇪🇲🇽🇿🇦🕎🎄        	{'place_id': '1c69a67ad480e1b1'}
1369845698431160321	2021-12-16T01:54:55.000Z	1471297759798038528	my go-to travel fit 🧍‍♀️anyways about to neglect y'all for 0 days lmao 	{'place_id': '07d9dafb0d885000'}
1162708186845077504	2021-12-16T00:19:47.000Z	1471273817444171777	 was READY for our visit from our District 0 Texas House of Representatives warrior  A huge THANK YOU goes out to his office for donating a truckload of gifts and goodies for 🎄Christmas! Our kiddos LOVED all of it! 	{'place_id': '1c69a67ad480e1b1'}
39613085	2021-12-17T23:17:00.000Z	1471982793471184904	Why the hell would y’all still travel with Covid around that shit crazy stay your I’m trying be seen but caught covid having ass down somewhere	{'place_id': '1c69a67ad480e1b1'}
144329976	2021-12-17T22:57:54.000Z	1471977986719109123	My boo said I need to get the vaccine so I can travel with him 😩😩😩 I’m scared	{'place_id': '1c69a67ad480e1b1'}
1578941540	2021-12-17T21:25:26.000Z	1471954715449700353	We were so excited that Santa and Mrs. Claus took time from their busy schedules to visit us yesterday!   	{'place_id': '38d0e797745f4c5d'}
958260191321116672	2021-12-17T20:46:33.000Z	1471944929756725254	 Is there anything y’all want in particular? I’m just a foodie and Ill for food haha.	{'place_id': '1c69a67ad480e1b1'}
28576483	2021-12-17T20:16:23.000Z	1471937337152131073	  My PhD has paid off handsomely. I have a well paying job, a paid off house, and time/$$$ for travel and adventure.	{'place_id': '1c69a67ad480e1b1'}
789719732	2021-12-17T19:42:28.000Z	1471928804985778181	 Come visit and enjoy nature’s medicine :’)	{'place_id': '1c69a67ad480e1b1'}
755243657515573248	2021-12-17T19:31:53.000Z	1471926139639713793	ill fly to atlanta rn stg 	{'place_id': '1c69a67ad480e1b1'}
1435583406398713857	2021-12-17T19:31:28.000Z	1471926034396332035	 Yes it is. Thank you. Had some places in March, June and November removed. But they still considered today’s visit a 0 month visit. And I go back next month then another 0 month visit in June. Getting older isn’t always fun.	{'place_id': '1c69a67ad480e1b1'}
889331798	2021-12-17T19:09:39.000Z	1471920544438226947	my baby got his passport. so ready to travel again ✈️	{'place_id': '1c69a67ad480e1b1'}
476205342	2021-12-17T18:41:44.000Z	1471913518823841792	 Come visit us!!!	{'place_id': '6dd590c61801b09c'}
1403383620258209794	2021-12-17T18:16:19.000Z	1471907125072904201	Today's a perfect day to plan your next trip🚍! For more information on our services visit:    	{'place_id': '00f2b6161655c5cc'}
1355887058	2021-12-17T16:48:36.000Z	1471885048194478089	Thank you  for this wonderful visit. You guys ROCK!!!MJE kiddos are having a blast with you guys in our school!!! Thanks 😊 ❤️🥰  	{'place_id': '0aaa61470a166002'}
38213679	2021-12-17T16:25:25.000Z	1471879212462182403	Are  concerns impacting your holiday travel plans? Or will nothing keep you from seeing friends and family? Let me know by replying (I may use your comment on  ✈️ 🚘  	{'place_id': '1c69a67ad480e1b1'}
453161783	2021-12-17T14:43:41.000Z	1471853614046093313	When I get up early to travel, and feed the cats when it is still dark, they are meowing for more when Joy gets up. 	{'place_id': '1c69a67ad480e1b1'}
1097449701278924805	2021-12-17T13:56:59.000Z	1471841860134047744	Let's pay Joe a visit 	{'place_id': '1c69a67ad480e1b1'}
1469750433728151553	2021-12-17T13:23:45.000Z	1471833496268251141	0/ FLIGHT • booked premium economy on  ✈️ Houston INT to   0hr ✈️ Taipei to  0hrEVAAir PreEco was superb: expansive legroom; B,L & D meals were enormous, tasty; in-flight movies; free 🫖 ☕️ 🥃. Price, very eco.     	{'place_id': '1c69a67ad480e1b1'}
