1414441333	2021-03-28T18:58:18.000Z	1376247291644940295	 Essentially i mean it isn’t going to work on its own . You have to implement other things in your lifestyle to see true results	{'place_id': 'a831a12094517a15'}
220813859	2021-03-28T17:54:23.000Z	1376231206149308423	I Do The Same Shxt Every Day .. Go To Work, Go Home, Get High & Go To Sleep 😭🤷🏽‍♀️🙄	{'place_id': '9458deb79984da4e'}
807322915356209152	2021-03-28T17:16:05.000Z	1376221568205004800	Lots of fun decorating outside for our upcoming MS awareness week at SW. Make sure to travel to school anyway actively this week! Thanks for always collaborating with us,  🧡 	{'place_id': '5cba3a162965b0e2'}
1101568540237316097	2021-03-28T16:46:34.000Z	1376214138624561154	i hate leaving shit when i go out bc i know i will NEVER go back to get it😂 	{'place_id': '1d9a5370a355ab0c'}
1319201438	2021-03-28T16:08:50.000Z	1376204643265560576	My 0 year old daughter was sick a few weeks ago and missed a whole week of school. She was fine this past week and went to school Tues-Fri...she is starting to get sick yet again. You’ve got to be kidding me.	{'place_id': '1d9a5370a355ab0c'}
360188566	2021-03-28T15:39:31.000Z	1376197265145143302	It's going to be a great day. My wife and I have our weekly financial meeting on Sunday, then I am going to work on I'll get a good meal, nap, and documentary in at some point.I hope y'all have a great day.Better yet, MAKE it a GREAT day.	{'place_id': '1d9a5370a355ab0c'}
826495641983528960	2021-03-28T15:29:06.000Z	1376194644195835906	 She tried to correlate this w going out young.. bitch what	{'place_id': '1d9a5370a355ab0c'}
1105106079078408192	2021-03-28T14:25:43.000Z	1376178695019302913	Gotta fight this diet 🥲 I’m wearing less and going out more all summer	{'place_id': '1d9a5370a355ab0c'}
1032820448	2021-03-28T13:56:16.000Z	1376171282467815426	It’s not that I don’t owe anyone an explanation but if I made plans and I wake up that day not in the mood for anything, I’ll just cancel because why am I gonna be out with friends in a bad mood? I’ll just say I don’t feel like going out. I don’t have to start a therapy session. 	{'place_id': '1d9a5370a355ab0c'}
826495641983528960	2021-03-28T10:42:04.000Z	1376122412673171456	Imma make a protein shake when I wake up & eat a salad for lunch. Then take shots & do ccke when I go out later. ✨balance✨	{'place_id': '1d9a5370a355ab0c'}
2962622725	2021-03-28T05:36:12.000Z	1376045438839709696	 Can you learn this dance and facken dance like this when we go out pls	{'place_id': '1d9a5370a355ab0c'}
25083390	2021-03-28T02:22:21.000Z	1375996653208006658	Going out two nights straight is exhausting in your late 0s. I asked myself in the mirror , getting ready “Toi, what is you on right now fr?” 🥴🤣	{'place_id': '1d9a5370a355ab0c'}
