36475665	2021-10-20T23:32:29.000Z	1450968194370441216	Misery (0)Rob Reiner   It made Bates a star, was a highlight performance in Caan’s career, proved that Reiner could go dark and convinced everyone that NO ONE should visit Rural Maine in the winter! Top notch horror! 	{'place_id': '1d9a5370a355ab0c'}
988399524	2021-10-20T23:12:15.000Z	1450963099469721600	Visit your favorite local restaurant and say your 'thanks' to the chef, for it's  🧑‍🍳 And you can gift them today's food item, they will DEFINITELY find a use for them -  🍐 🍎 🥃 	{'place_id': '1d9a5370a355ab0c'}
105359738	2021-10-20T23:04:36.000Z	1450961174527414277	FOUND A NEW VEGAN SPOT TO VISIT IN LA :-)))))	{'place_id': '1d9a5370a355ab0c'}
2619159051	2021-10-20T22:32:41.000Z	1450953143836160005	Across 0 States &  in under a minute 😍🤗               	{'coordinates': {'type': 'Point', 'coordinates': [-87.90120921, 41.97655691]}, 'place_id': '1d9a5370a355ab0c'}
920679377255350272	2021-10-20T22:07:18.000Z	1450946757232365581	 don’t ever visit the melrose park ,I’ll location 0 north av they just tried charging me almost 0 dollars for 0 mcchickens with cheese and a large drink 0 dollar extra for each piece of cheese and a dollar more per sandwich then any other McDonald’s Burger King now	{'place_id': '20c885d40cb26f0f'}
1250642051731001344	2021-10-20T22:02:50.000Z	1450945632336859141	This how me and my mama travel. We gone EAT 😂😂😂 	{'place_id': '1d9a5370a355ab0c'}
451933426	2021-10-20T21:55:00.000Z	1450943659554353153	  Gurllll byeeee! You don’t even come visit for a weekend!!! 🙄	{'place_id': '893163e131e6e67c'}
471748983	2021-10-20T21:32:42.000Z	1450938048489873408	Can not stress enough how proud I am of my little brother. He’s been working with the  as an athletic trainer & It’s so cool to see his experiences working w/ these athletes & getting to travel & see the country. He’s worked really hard to get there, Love ya Sam 💜 	{'place_id': '1d9a5370a355ab0c'}
99138746	2021-10-20T21:09:44.000Z	1450932270064406528	I'm at O'Hare Oasis Travel Plaza in Schiller Park, IL 	{'coordinates': {'type': 'Point', 'coordinates': [-87.88328592, 41.95059817]}, 'place_id': '7c9d51a2fd0a7552'}
169684909	2021-10-20T20:59:00.000Z	1450929566155935751	 about to make me fly to California and smack the shit outta him w/ a bottle of wine	{'place_id': '1d9a5370a355ab0c'}
