247375253	2021-05-21T22:37:35.000Z	1395871422271078402	Guest artist  came by for a visit.   	{'place_id': '07d9daff6d886000'}
921330608	2021-05-21T22:35:11.000Z	1395870815275692032	  There definitely were a TON of questions -  did her best to answer as many as possible. If she couldn’t get to yours visit  for more info!  	{'place_id': '1d9a5370a355ab0c'}
1369385372690579457	2021-05-21T22:19:06.000Z	1395866770737700872	 Wonder if his followers will Travel from town to townLike members of theDeadhead army.BTW hope the areas thathold these gatherings ofIdiots get their money up front Because TrumpWeasels out of paying for City services	{'place_id': '1d9a5370a355ab0c'}
2843685004	2021-05-21T21:01:02.000Z	1395847123044814849	 I’ve said it before and I’ll say it again Florida and Texas are two states i will never visit again.	{'place_id': '1d9a5370a355ab0c'}
1319201438	2021-05-21T19:40:18.000Z	1395826805588758528	   The testing they did screw up. As far as closing travel and paying people to stay home, that’s tough. Hindsight is always 0/0 but shelling out hundreds of billions on a whim on a public health theory? No President would’ve taken that lightly	{'place_id': '1d9a5370a355ab0c'}
159673662	2021-05-21T19:34:37.000Z	1395825374693666820	Would you rather get 0 hours of sleep every night or travel to a new city every month forever?	{'place_id': '6b745382f2cdbb67'}
4840466391	2021-05-21T19:25:19.000Z	1395823037686165508	Think 🤔 I’m going to drive to ST LOUIS and visit the fam for a few days.	{'place_id': '1d9a5370a355ab0c'}
1112009798915104768	2021-05-21T18:08:27.000Z	1395803692671115276	   Looking forward to trading Fists when you come visit.	{'place_id': '1d9a5370a355ab0c'}
34563848	2021-05-21T17:53:11.000Z	1395799850797748224	I’m officially safe to travel since I’m fully vaccinated!Thank you Science!	{'place_id': 'e2c96cf8c0a43c1d'}
1143789940951715842	2021-05-21T17:24:40.000Z	1395792673164910596	 versatile and athletic 0’0, 0 lber. Anthony Moe-Tucker visits the 0 and earns himself a college football opportunity after a great visit to  Congrats from  Anthony! Very excited you’re taking some MIAC visits!  	{'place_id': '1d9a5370a355ab0c'}
43643203	2021-05-21T17:12:49.000Z	1395789691186782218	"""The Price Is Not Right: Mideast Fighting, Inflation, Summer Travel""  "	{'place_id': '1d9a5370a355ab0c'}
1682239346	2021-05-21T16:50:31.000Z	1395784080055226372	Happy Birthday  🥳 🎂 🎉. So fun to visit  with you. 🖼 	{'place_id': '1d9a5370a355ab0c'}
1352744605058527232	2021-05-21T16:21:36.000Z	1395776799871840258		{'place_id': 'ddf7cf3506dcf5c4'}
1110207278106505216	2021-05-21T16:02:39.000Z	1395772034030968835	time travel 	{'place_id': '1d9a5370a355ab0c'}
916102712852443137	2021-05-21T14:45:46.000Z	1395752685677260800	  Thank you Mr. Jennings! Congratulations to you and welcome to the Triton family. As you will learn, several of our teams had great seasons! Softball was our 0rd region champion in 0 along with men's and women's basketball. We hope you get a chance to visit us in athletics!	{'place_id': 'c226bc3c790795d8'}
1029793559363416068	2021-05-21T13:27:02.000Z	1395732871990624260	Happy  my friends from Abe Lincoln who’s watching over his namesake  in  🏘♥️Have you found a well-placed mural like this on your travels or at home?Travel tip: it’s right across from Green City Market! 	{'place_id': '1d9a5370a355ab0c'}
26097464	2021-05-21T10:56:10.000Z	1395694904102334471	I love the trend of some top tier recruits flipping the script & turning down scholarship offers from these schools.  If I were a parent & UNC attempted to come for a recruitment visit they wouldn't even make it into the house. 	{'place_id': '1d9a5370a355ab0c'}
24258417	2021-05-21T10:53:13.000Z	1395694161861427200	 I will fly to Portland to babysit any time for free. Legend.	{'place_id': '1d9a5370a355ab0c'}
727412766	2021-05-21T09:46:45.000Z	1395677433320382464	Bye Chicago 👋 about to get on my flight to Dallas Texas ✈️.!!  here I come 💪🏽💪🏽💪🏽💯••          	{'place_id': '1d9a5370a355ab0c'}
382480454	2021-05-21T06:03:33.000Z	1395621264090357761	Art Totes and make up bags Aponteart ❤️ visit my website to see the complete collection            	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
2347553998	2021-05-21T05:07:59.000Z	1395607281291730949	 come visit me this summer bring all ur sisters too i miss ur stupid faces🤬♥️♥️	{'place_id': '1d9a5370a355ab0c'}
2200452385	2021-05-21T03:58:42.000Z	1395589845163167753	 Twist my arm, I’ll travel more. Whatever it takes	{'place_id': '1d9a5370a355ab0c'}
88272063	2021-05-21T03:30:25.000Z	1395582726418452482	 & His friends heading on vacation to visit his Buddy  in Texas 	{'place_id': '1d9a5370a355ab0c'}
1372910024805257216	2021-05-21T02:11:38.000Z	1395562900627066884	0 joyful Italian things that we miss in the pandemic | Times of India Travel 	{'place_id': 'c5be6cc8c8fd4263'}
36475665	2021-05-21T01:50:51.000Z	1395557668937424899	 update!The news spread fast that we have a family of bunnies that love to visit the grounds so we assembled a fence tonight to protect the tender plants. The veggies all look happy AND we have lettuce/spinach sprouts in abundance!  	{'place_id': '07d9f494b0487003'}
