100122680	2020-05-26T13:34:45.000Z	1265275182513610752	I found a hidden  field 🥰               … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6886, 42.0469]}, 'place_id': '8b351eeb91372dc7'}
319625899	2020-05-26T12:56:30.000Z	1265265555516403714	Who would you like to be able to share a drink with as SOON as POSSIBLE?Me?  My favorite travel buddy joydenard !  We have been traveling together since we were both kids (with our parents). Today, we have been… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.66553887, 41.7509304]}, 'place_id': '1d9a5370a355ab0c'}
1136781960964116480	2020-05-26T12:14:55.000Z	1265255089079451649	Check in daily  Album of the day :  - NowWebsite to check out -support.woundedwarriorproject.orgCandidate to visit -  - Movie of the day-Mary, Queen of Scots	{'place_id': '3009292baa8dda23'}
1920592950	2020-05-26T12:08:06.000Z	1265253374934634503	"Congratulations to A&K's own Marty Behr, who was named by Condé Nast Traveler as Top Travel Specialist for America's National Parks. ""Behr has explored every corner of 0 parks, probing guides' knowledge and… "	{'coordinates': {'type': 'Point', 'coordinates': [-88.0219269, 41.829689]}, 'place_id': '6af99a29bfae42a2'}
25376060	2020-05-26T11:41:26.000Z	1265246662588534787	: Trump’s struggles to stand still didn’t go unnoticed during Memorial Day visit to Arlington.via 	{'place_id': 'f04813ea26f51186'}
61015432	2020-05-26T11:41:19.000Z	1265246636575535108	 Even the youngest vets are in their 0s. The ones I saw in Normandy last year for D-Day things were pretty spry, but I think that’s self-selecting, on account of the requirements of travel.	{'coordinates': {'type': 'Point', 'coordinates': [-88.02442593, 41.88763428]}, 'place_id': '9f3d755fe1a081a4'}
805777805183221760	2020-05-26T08:52:21.000Z	1265204110925664258	THEN THERE ARE THE TRUMP KIDS WHO TRAVEL AROUND TOO. OF COURSE THEY WOULD NEVER EVER CONSIDER AN AIRPLANE, JUST A REALLY EXPENSIVE PRESIDENTIAL JET NOT MEANT FOR THEM TO TAKE QUICK TRIPS IN! TRUMP OWES MANY STATES MONEY FROM PAST CAMPAIGNS FOR EXTRA POLICE PROTECTION HE REQUESTED 	{'place_id': '1d9a5370a355ab0c'}
515810686	2020-05-26T06:18:15.000Z	1265165333498912768	I love traveling but I barely have people to travel with 🥴	{'place_id': '1d9a5370a355ab0c'}
286982761	2020-05-26T05:55:52.000Z	1265159700879941636	 Visit it at night. In the rain if possible. It is unbelievably moving	{'place_id': '1d9a5370a355ab0c'}
286982761	2020-05-26T05:54:40.000Z	1265159396012756992	Schindler’s List. After the actual movie... when survivors visit his grave. Wow. Lost it 	{'place_id': '1d9a5370a355ab0c'}
2178333913	2020-05-26T05:16:19.000Z	1265149747280719877	 I just looked it up bc I’ve never heard that before. But basically it means you eliminating all acidity. Acidity isn’t in red meat alone, btw. I can def give you some guidelines tho. Message me with how your visit went.	{'place_id': '1d9a5370a355ab0c'}
