90266659	2021-02-27T23:14:07.000Z	1365802422178873344	🛤 // 0.0.0.....      en Chicago Downtown 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62614846, 41.88046793]}}
90266659	2021-02-27T23:10:14.000Z	1365801444587282438	🦕 // 0.0.0.....         en Field Museum 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.61713624, 41.86622681]}}
90266659	2021-02-27T23:09:12.000Z	1365801185622515720	The bedroom, 0 - Vincent van Gogh 🖌 // 0.0.0.....          en The Art Institute of Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62309074, 41.87959273]}}
67547908	2021-02-27T21:44:38.000Z	1365779902994259968	 They have a few high points (time traveling arc) and alot of low points but it’s worth it once you catch up .. I’m on episode 0	{'place_id': '1d9a5370a355ab0c'}
941538966871912448	2021-02-27T20:02:37.000Z	1365754229332279297	  It’s true. I just went thru this a year ago on a trip.  Was a class of younger people. My roommate was my age. She tried to fit in with them so bad instead of just enjoying the company she drove herself nuts. Haven’t talked to her since🙄🤷‍♀️	{'place_id': '1d9a5370a355ab0c'}
467172010	2021-02-27T19:03:42.000Z	1365739401553342464	I forgot how weird mfs are who travel	{'place_id': '1d9a5370a355ab0c'}
43913978	2021-02-27T18:55:20.000Z	1365737297656872962	  Come visit	{'place_id': '1d9a5370a355ab0c'}
1281715002995605508	2021-02-27T18:52:29.000Z	1365736581085224961	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
21851651	2021-02-27T18:04:11.000Z	1365724423584698371	  He just makes babies for his ego, while the women parent them day in and day out.  He is not an active father,  just a sperm donor,  imo. Just like his daddy. Instead of sleeping around, Nick should make time to safely go visit his elder kids. Smh.	{'place_id': 'c8b021ffd0c94ffc'}
941538966871912448	2021-02-27T17:38:44.000Z	1365718022082732032	     Not in Illinois but when I ever get back to traveling  I just saw they’re in 0 states.	{'place_id': '1d9a5370a355ab0c'}
1214575020682428417	2021-02-27T17:16:44.000Z	1365712484540289027	 I’m worried about the ears popping! I also have to get a simple crib/playpen for her cause the travel bassinet she out grew 😩 like it’s just so much	{'place_id': '1d9a5370a355ab0c'}
1349187574288572416	2021-02-27T17:01:01.000Z	1365708529143844872	What city should I come visit? 🤔	{'place_id': '1d9a5370a355ab0c'}
385572863	2021-02-27T16:47:04.000Z	1365705017186004996	 And I thought things had changed since my first trip in 0. Grandparents had visited around this time. Would’ve been a blast to visit then.	{'place_id': '9458deb79984da4e'}
584206382	2021-02-27T16:03:29.000Z	1365694051882848256	 When they meet at the diner and young Joe starts asking Old Joe logic questions about time travel and memory and he responds that he’s not going to talk about time travel, I wanted to cheer. That’s where these movies always get bogged down.	{'place_id': '1d9a5370a355ab0c'}
28232449	2021-02-27T15:36:44.000Z	1365687316279345152	One of my pandemic purchase faves is this sleep spray — it’s usually $0, but I’m on my second bottle and it will def come with me when I start traveling again. It’s a GMA deal today and half off ($0.0 is a little more palatable for a trial price!) 	{'place_id': '1d9a5370a355ab0c'}
30993644	2021-02-27T15:30:41.000Z	1365685797370941442	I wana travel more	{'place_id': '5e4243758a966b81'}
3403201023	2021-02-27T13:03:10.000Z	1365648670163673089	 Also you can use the energy of the full moon 0 days before and 0 days after a full moon. There’s several things you can use other than a candle. Like when I travel and I don’t have access to a candle, I use an onion peel if I need to release something under a full moon.	{'place_id': '1d9a5370a355ab0c'}
1194715665845903360	2021-02-27T11:40:49.000Z	1365627946870964224	 I just want to travel to your house. 	{'place_id': '389e765d4de59bd2'}
1281715002995605508	2021-02-27T08:22:21.000Z	1365578001472176131	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
584206382	2021-02-27T07:36:55.000Z	1365566569334603776	Just watched LOOPER for the first time since theaters. Forgot how dark that movie goes. Hopeless, dystopian future, a child is murdered, and it really digs into the kind of psychosis that theoretically would be caused by time travel. Damn good flick.	{'place_id': '1d9a5370a355ab0c'}
20386395	2021-02-27T04:37:41.000Z	1365521464615710722	I also watched a VR video of Petra today and now I would very much like to visit.	{'place_id': '1d9a5370a355ab0c'}
86104643	2021-02-27T04:28:51.000Z	1365519239264808961	  My aunt had her travel agency there. All World Travel. Neat building.	{'place_id': '0a1066f231fd366d'}
1324049134341492736	2021-02-27T03:57:03.000Z	1365511237304516612	Do I actually wanna travel the world or just need to leave logan square for a day	{'place_id': '1d9a5370a355ab0c'}
716634989668872193	2021-02-27T03:42:36.000Z	1365507602310959105	You might be surprised by what they catch 🎣  	{'place_id': '1d9a5370a355ab0c'}
