822228032417071104	2021-10-07T22:58:18.000Z	1446248549621112833	Emergency Room Visit???😂😂💙 	{'place_id': '99700cd6fc455c13'}
1271603088001024000	2021-10-07T22:19:36.000Z	1446238808991731717	"UPDATE!The 0 ""Fat Bear Week"" Champion is ... Otis!  Personally, I'm going out later today to celebrate with a large chocolate malted. Seems the least I can do."	{'place_id': '1d9a5370a355ab0c'}
576734394	2021-10-07T21:17:20.000Z	1446223139596349445	Judging purely by my own observation, seeing a lot more suits, ties, and laptops at the airport. Business travel returning?	{'place_id': '1d9a5370a355ab0c'}
2876786636	2021-10-07T20:43:50.000Z	1446214707057135616	 to when we issued our first ever GLMPI Mission Accomplished Award to Cook County State’s Attorney  And  actress  stopped by Chicago Day of the Girl to share some Black Girl Magic Star   Visit our  to join this year October 0th! 	{'place_id': '1d9a5370a355ab0c'}
1279460436207972352	2021-10-07T20:07:36.000Z	1446205591702188038	Lost 0lbs since my last doctors visit . Only good news ive had in awhile so imma run wit it 🙂🤣	{'place_id': '454e631ab87f60a6'}
2359922774	2021-10-07T19:54:52.000Z	1446202385458728961	Look up what this place giving for weeks of through to.Now months.Hey the guy swell.Keep case review give to great analysts stay just stay go on a trip now get over here he wants more give these that's our work now your what your suppose to be dead little bitch called.USHO's	{'place_id': '1d9a5370a355ab0c'}
2993362769	2021-10-07T19:52:32.000Z	1446201798776303622	 And I say let’s give him more reasons to hate us when the Skunkbears visit on January 0.	{'place_id': '1d9a5370a355ab0c'}
1385057131553038338	2021-10-07T19:48:51.000Z	1446200870484463620	 TRAVEL TO JAMAICA WHERE YOUR DADDY IS FROM AND KISS YOUR FATHER’S WALL  	{'place_id': '1d9a5370a355ab0c'}
39686369	2021-10-07T19:14:14.000Z	1446192159577804808	We Are Stocked Up For ’s Visit This Weekend🍹    	{'place_id': '07d9db255bc84000'}
329314944	2021-10-07T18:51:45.000Z	1446186501344215047	New York tomorrow! I’m excited. This trip not even about dick. I’ve always wanted to visit NY so I’m about to be a big tourist & explore the city & eat down. Of course I’m going to suck a lot of dickS too. That’s an extra bonus lol.	{'place_id': '1d9a5370a355ab0c'}
2876786636	2021-10-07T18:49:30.000Z	1446185934735790080	Hey We have a contest!✨Post on social media what Chicago Day of the Girl means to you. ✨Use the hashtags  & ✨Like and share this tweet! Winners will be randomly selected, prizes will be given/announced at the event.✨Visit our  for more! 	{'place_id': '1d9a5370a355ab0c'}
