32958693	2020-01-06T02:52:19.000Z	1214016817871642624	Anybody wanna go to work for me tonight? But you gotta give me the pay 😫😫 I’m too broke to pass both work and money up 😂	{'place_id': '002e24c6736f069d'}
1789032824	2020-01-06T02:40:40.000Z	1214013885751148545	Idk why mfs be wanting to go back to school...ITS DEPRESSING WHY YALL LIKE IT SO MUCH!!! Fuck the ppl fuck the classes fuck it all!!!!	{'place_id': 'c735e25ad03113d5'}
49815728	2020-01-06T02:08:33.000Z	1214005802794655744	 At least go out for a little bit.	{'place_id': '00c39537733fa112'}
331171348	2020-01-06T02:05:42.000Z	1214005088710250496	 Lmao chilll I ain’t tryna go out like that	{'place_id': '011add077f4d2da3'}
3229682659	2020-01-06T01:55:34.000Z	1214002536623099904	 regardless of what has transpired with the eagles at least we ain’t go out like that 0 times whewwww	{'place_id': 'b046074b1030a44d'}
1617572898	2020-01-06T01:21:55.000Z	1213994068772040705	Twitter has become the same shit Ig sc Facebook all these women selling ass!! Jesus can ya go to school and learn something other then being a smut!!	{'place_id': '002e24c6736f069d'}
1063979097351774208	2020-01-06T01:14:22.000Z	1213992169935187968	I’m not going to war you can barely get me to go to work	{'place_id': '01a9a39529b27f36'}
709568435479568384	2020-01-06T01:05:42.000Z	1213989988003721220	This is the bullshit that feeds into the narrative to start a f--king war. It was a eulogist who made the statement, not Iran. This f--k has no clue what he's talking about. On another note, he wants war so bad, he should go out there and fight in it too. 	{'place_id': '01a9a39529b27f36'}
811668286211584001	2020-01-06T01:02:08.000Z	1213989088606478342	0 hours later and I’m only just now breaking through the writer’s block, jfc. Whatever we’re cookin now guess I’ll just stay up a little late and go to work tired.	{'place_id': '00c39537733fa112'}
220359420	2020-01-06T00:37:12.000Z	1213982816817561601	 I refuse to go out without a fight 	{'place_id': '01a9a39529b27f36'}
30122171	2020-01-06T00:36:46.000Z	1213982707304292353	On my couch under my weighted blanket with my candle lit, face mask on, book in hand thinking about how I worked out, did not drink, organized my life, cooked a few new recipes & got 0+ hours of sleep a night & how this sense of calm will all go out the window by 0 am tomorrow.	{'place_id': 'e9143a85705b4d40'}
1190678006236418048	2020-01-06T00:35:25.000Z	1213982365455912968	 on god, like I said I get hanging out with random niggas cause I’m sure a woman wouldn’t want her man chilling with random women but not going out to parties???? you gon get a “be safe and have fun. text/call me if you need anything” from me lmao	{'place_id': '00c39537733fa112'}
25882493	2020-01-06T00:31:29.000Z	1213981375981916160	 You have to go to work 🙄	{'place_id': '011add077f4d2da3'}
233705630	2020-01-06T00:09:23.000Z	1213975816935297025	Wow I can’t believe I have to go to work tomorrow.	{'place_id': '00c39537733fa112'}
1067275308754194433	2020-01-06T00:06:47.000Z	1213975160837083136	 I go to school here sis. I just want my bacon egg & cheese 😭	{'place_id': '858cec499f8adba6'}
604955101	2020-01-07T23:59:40.000Z	1214698143515860998	Last show of this trip, going out on a high note 	{'place_id': '0fc285a18dd4c000'}
1190678006236418048	2020-01-07T23:10:22.000Z	1214685736714297344	0/0 times I do not go out (whenever I do go out) with the mindset that I’m tryna bag women. I’m just going out to enjoy myself and my time with my people.	{'place_id': '00c39537733fa112'}
1058790972983832576	2020-01-07T21:16:24.000Z	1214657056239759361	    X0 started at 0:0, but SIM0 starts at 0:0. Some people have been forced to go out of their way to take a different bus because the 0 doesn’t run as early.	{'place_id': '00c55f041e27dc51'}
75402301	2020-01-07T21:11:31.000Z	1214655830013992964	going go out on a limb here and say even trump even shows up to the debates they will not matter because a debate with him is pointless so the absolute last thing i’ll look at with a candidate is my fantasy scenario beating trump with facts and logic because i’m not stupid	{'place_id': '00c39537733fa112'}
1190678006236418048	2020-01-07T20:58:56.000Z	1214652662353989632	if my guy need a shirt or don’t look the part if we going out, then my clothes are his clothes. idc what nobody says. 	{'place_id': '00c39537733fa112'}
846124629320183812	2020-01-07T20:24:27.000Z	1214643983982436364	 ahh me please! i broke my leg really badly last month and i haven’t been able to go out and work; i pay for school and luckily they’re nice enough to put me on a leave. I would really appreciate anything 💖	{'place_id': 'bf83670d90b7f0bc'}
184287210	2020-01-07T20:23:08.000Z	1214643652678565893	  Nah you know how I know this year going to be different? New Years I ain’t even go out I was just with the fam went to sleep wild early	{'place_id': '002e24c6736f069d'}
1124867935443587072	2020-01-07T20:06:53.000Z	1214639563387408384	  I give you credit, at least you take the effort to go to work, and pay the bills. Many people desire more in life. Appreciation for mundane routine reality, shows positive perseverance. Those who endure to the end, receive rewards. You have your health and strength, that's life.	{'place_id': '858cec499f8adba6'}
22516507	2020-01-07T19:46:48.000Z	1214634508139581440	I can only go out with my homies or bad bitches cuz u niggas be dead broke and that shit is annoying. At least bad bitches be getting sponsored. Jeez, u niggas need a sponsorship too.	{'place_id': '01a9a39529b27f36'}
220490113	2020-01-07T19:42:18.000Z	1214633377615302658	This is an excellent resource applying SDAG goals to NYC school demographics. Thanks  for such great work. 	{'place_id': '01a9a39529b27f36'}
292059783	2020-01-07T19:00:21.000Z	1214622820975730688	Mine is when I fully stop taking requests or factoring in anyone else’s preferences and just play back-to-back Kim Petras and Ariana until we go out. 	{'place_id': '01a9a39529b27f36'}
29579268	2020-01-07T18:39:47.000Z	1214617643191287809	My 0 vision board is just a collage of photoshopped images of myself &  working together - I think this one is going to work! 	{'place_id': '01a9a39529b27f36'}
221814659	2020-01-07T17:15:31.000Z	1214596436874145793	TIME IS OF THE ESSENCE... 🕰 this morning I woke up under the weather, I could have just passed out after taking the girls to school but I didn’t. I made myself a vitamin C ginger shot and got back to work. 📖 I took a… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
1190678006236418048	2020-01-07T17:15:08.000Z	1214596342976303112	 Definitely nothing wrong with that in my book, but I also don’t go out to clubs/lounges often so	{'place_id': '00c39537733fa112'}
1190678006236418048	2020-01-07T17:14:21.000Z	1214596145751703554	 lmfaooo not every nigga go out to catch a whine or a dub angie. Some niggas go out to chill with they guys	{'place_id': '00c39537733fa112'}
1190678006236418048	2020-01-07T17:12:20.000Z	1214595636043157505	 Welll speaking for myself, I like the rara shit cause I only go out to drink and listen to music. I don’t gotta dance, I don’t gotta do any of that. My intentions ain’t really to bag nobody or none of that lmfao so I could care less what’s being played as long as I’m chilling.	{'place_id': '00c39537733fa112'}
1733670788	2020-01-07T16:58:33.000Z	1214592166300934145	 saying she’s going back to school to follow her calling, cannot wait!	{'place_id': '011add077f4d2da3'}
811676736	2020-01-07T16:58:13.000Z	1214592084969218048	  Cuz as a man you can pop but I ain’t gone let you go out fighting the she hulk we gone just have to jump that bitch	{'place_id': '6d4a758f41e684b0'}
356905846	2020-01-07T16:54:21.000Z	1214591111706087427	Look what showed up to my office today! Thanks   	{'place_id': '5d09360434c9b510', 'coordinates': {'type': 'Point', 'coordinates': [-74.22766375, 40.83291044]}}
