2021-07-13T23:08:11.000Z	1415085679235768323	Let’s get this money and travel the world baby	{'place_id': '7329ff8dbdf5bc00'}
2021-07-13T23:04:55.000Z	1415084857512837127	Two: inflation is relatively severe now because we actually experienced deflation this time last year. PCE excluding food and energy is up as well, this is economy-wide, but of particular interest are clothing and travel 	{'place_id': 'c418b0c82daabc44'}
2021-07-13T23:02:41.000Z	1415084294435975175	Our instagrammable art collection is just one more reason to visit. 🎨 ..    @ Dream Downtown 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0038, 40.74213]}, 'place_id': '01a9a39529b27f36'}
2021-07-13T22:36:40.000Z	1415077745810366467	I know that hoax .your all connected  feeding off people like I said u could travel the world the universe' u won't find what u seek .what you seek belongs to me now it's time u figure out who I AM ⚡	{'place_id': '011add077f4d2da3'}
2021-07-13T22:25:35.000Z	1415074956715728896	 Here in the US we can’t travel unless you show your vaccination card and a negative Covid test.	{'place_id': '01a9a39529b27f36'}
2021-07-13T22:16:39.000Z	1415072707994177537	Creative Director 🥺 Styling ! Book me, go visit my if for more content ! 	{'place_id': '011add077f4d2da3'}
2021-07-13T21:48:38.000Z	1415065657809440768	 I really do not understand why it can’t be like every other night with one extra travel day perch city change like every other sport. It confuses my simple ass	{'place_id': '011add077f4d2da3'}
2021-07-13T21:25:42.000Z	1415059888313622528	I honestly just couldn’t imagine living in a city like New York or Boston They’re fun to visit, but I would blow my head off driving there everyday	{'place_id': '00c39537733fa112'}
2021-07-13T21:17:03.000Z	1415057710488371207	Then the next question is, can you visit all CitiBike stations within a 0 day window ? 	{'place_id': '00c39537733fa112'}
2021-07-13T21:14:34.000Z	1415057087579709442	Your Officers & Explorer were out covering GRAFFITI along the Long Island Expressway today. GRAFFITI is a crime. Help your community by reporting it. Report GRAFFITI by calling (0) 0-0, OR  you can also visit  for more information. 	{'place_id': '00c39537733fa112'}
2021-07-13T20:31:08.000Z	1415046157332586500	I will never visit Nashville again 	{'place_id': '00c39537733fa112'}
2021-07-13T20:26:39.000Z	1415045028624338945	 Are you allowed to travel again? I thought they had Covid restrictions	{'place_id': '01a9a39529b27f36'}
2021-07-13T20:25:14.000Z	1415044670443433984	🎄🎁 Day 0 of our Christmas in July Travel Inspirations! 🎁🎄If your idea of the perfect Christmas getaway consists of sublime weather, luxurious accommodations and gorgeous scenery, look no further than the Maldives. Several Maldivian resorts host Santa meet and greets 	{'place_id': '609b31e0a50b4474'}
2021-07-13T20:11:41.000Z	1415041259425632260	  Looking forward. From this viewpoint the Nano keyboard is a real triumph. Prefer it to the X0C which has longer travel	{'place_id': '01a9a39529b27f36'}
