2021-09-14T21:08:12.000Z	1437885917881147394	Serving tables all night so come visit me and the jeans that work miracles at work tonight 🥺👉🏼👈🏼	{'place_id': '01a9a39529b27f36'}
2021-09-14T21:01:37.000Z	1437884260812267527	🤨 ???Travel with your wife lol, you don’t become a boring house dweller once you get into a serious relationship if that’s what you’re thinking 	{'place_id': '00c39537733fa112'}
2021-09-14T20:46:17.000Z	1437880406100090884	NY photo dump 🏙📸         #🌃 @ New York City 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98366822, 40.76081647]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T20:36:58.000Z	1437878060200644611	All the nations cdc says we shouldn't travel.  Joke. Esp with all the Afghanistan 0k coming or in USA already 	{'place_id': '00c55f041e27dc51'}
2021-09-14T19:55:50.000Z	1437867706779320321	Ready to celebrate a week of events leading up to  Visit  to register for virtual and in-person events across the country. And don't forget to join  team of  and  & NYCC on Monday, September 0th 	{'place_id': '01a9a39529b27f36'}
2021-09-14T19:46:05.000Z	1437865252566315010	Calling  for a trip to Southeast Queens to support my sister  I’ll travel out of the 0th for democracy and bake and shark, pholourie, and doubles 🤤 	{'place_id': '011add077f4d2da3'}
2021-09-14T19:34:29.000Z	1437862334135947264	  i can’t believe this is officially my most viral tweet 🤦🏽‍♀️I have nothing to endorse (unless you live in NYC then visit Bar Goyana in El Barrio 0 E 0th st) so I’ll share my life’s wisdom: stop drinking cheap tequila AND real patriotism is closing your legs to Republicans.	{'place_id': '00c39537733fa112'}
2021-09-14T19:28:09.000Z	1437860741541998598	Someone said on a Facebook travel group that Kansas is full of nothing. They must not be a supernatural fan.	{'place_id': '7c09539af94ab80b'}
2021-09-14T19:00:14.000Z	1437853717043154944	I revisited this old hymn and was floored by the lyrics as they described a spiritual journey we all must travel if we desire to be in relationship with God. | Phil McKinney   	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
2021-09-14T18:51:46.000Z	1437851586152132608	Visit  to take advantage of this “Pop Up” store.  It will close on or slightly after 0/0 so act now!   Our Legends Collection!    @ Bergen County, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.07, 40.96]}, 'place_id': '4b6a1f748c5219fa'}
